date_of_census,measure,count,table
2024-03-26,total_individuals_in_shelter,85333,DHS daily census
2024-03-26,total_single_adults_in_shelter,19982,DHS daily census
2024-03-26,families_with_children_in_shelter,18605,DHS daily census
2024-03-26,adult_families_in_shelter,2036,DHS daily census
2024-03-25,total_individuals_in_shelter,85471,DHS daily census
2024-03-25,total_single_adults_in_shelter,19985,DHS daily census
2024-03-25,families_with_children_in_shelter,18635,DHS daily census
2024-03-25,adult_families_in_shelter,2039,DHS daily census
2024-03-24,total_individuals_in_shelter,85583,DHS daily census
2024-03-24,total_single_adults_in_shelter,19968,DHS daily census
2024-03-24,families_with_children_in_shelter,18691,DHS daily census
2024-03-24,adult_families_in_shelter,2032,DHS daily census
2024-03-23,total_individuals_in_shelter,85549,DHS daily census
2024-03-23,total_single_adults_in_shelter,19967,DHS daily census
2024-03-23,families_with_children_in_shelter,18673,DHS daily census
2024-03-23,adult_families_in_shelter,2046,DHS daily census
2024-03-22,total_individuals_in_shelter,85653,DHS daily census
2024-03-22,total_single_adults_in_shelter,19983,DHS daily census
2024-03-22,families_with_children_in_shelter,18700,DHS daily census
2024-03-22,adult_families_in_shelter,2043,DHS daily census
2024-03-21,total_individuals_in_shelter,85802,DHS daily census
2024-03-21,total_single_adults_in_shelter,20020,DHS daily census
2024-03-21,families_with_children_in_shelter,18723,DHS daily census
2024-03-21,adult_families_in_shelter,2050,DHS daily census
2024-03-20,total_individuals_in_shelter,85746,DHS daily census
2024-03-20,total_single_adults_in_shelter,19977,DHS daily census
2024-03-20,families_with_children_in_shelter,18735,DHS daily census
2024-03-20,adult_families_in_shelter,2044,DHS daily census
2024-03-19,total_individuals_in_shelter,85770,DHS daily census
2024-03-19,total_single_adults_in_shelter,19976,DHS daily census
2024-03-19,families_with_children_in_shelter,18737,DHS daily census
2024-03-19,adult_families_in_shelter,2049,DHS daily census
2024-03-18,total_individuals_in_shelter,85834,DHS daily census
2024-03-18,total_single_adults_in_shelter,19955,DHS daily census
2024-03-18,families_with_children_in_shelter,18760,DHS daily census
2024-03-18,adult_families_in_shelter,2050,DHS daily census
2024-03-17,total_individuals_in_shelter,86122,DHS daily census
2024-03-17,total_single_adults_in_shelter,19867,DHS daily census
2024-03-17,families_with_children_in_shelter,18892,DHS daily census
2024-03-17,adult_families_in_shelter,2046,DHS daily census
2024-03-16,total_individuals_in_shelter,85984,DHS daily census
2024-03-16,total_single_adults_in_shelter,19783,DHS daily census
2024-03-16,families_with_children_in_shelter,18865,DHS daily census
2024-03-16,adult_families_in_shelter,2054,DHS daily census
2024-03-15,total_individuals_in_shelter,86059,DHS daily census
2024-03-15,total_single_adults_in_shelter,19831,DHS daily census
2024-03-15,families_with_children_in_shelter,18869,DHS daily census
2024-03-15,adult_families_in_shelter,2054,DHS daily census
2024-03-14,total_individuals_in_shelter,86088,DHS daily census
2024-03-14,total_single_adults_in_shelter,19906,DHS daily census
2024-03-14,families_with_children_in_shelter,18863,DHS daily census
2024-03-14,adult_families_in_shelter,2054,DHS daily census
2024-03-13,total_individuals_in_shelter,86104,DHS daily census
2024-03-13,total_single_adults_in_shelter,19862,DHS daily census
2024-03-13,families_with_children_in_shelter,18877,DHS daily census
2024-03-13,adult_families_in_shelter,2068,DHS daily census
2024-03-12,total_individuals_in_shelter,86058,DHS daily census
2024-03-12,total_single_adults_in_shelter,19788,DHS daily census
2024-03-12,families_with_children_in_shelter,18882,DHS daily census
2024-03-12,adult_families_in_shelter,2084,DHS daily census
2024-03-11,total_individuals_in_shelter,86222,DHS daily census
2024-03-11,total_single_adults_in_shelter,19796,DHS daily census
2024-03-11,families_with_children_in_shelter,18938,DHS daily census
2024-03-11,adult_families_in_shelter,2080,DHS daily census
2024-03-10,total_individuals_in_shelter,86198,DHS daily census
2024-03-10,total_single_adults_in_shelter,19771,DHS daily census
2024-03-10,families_with_children_in_shelter,18941,DHS daily census
2024-03-10,adult_families_in_shelter,2072,DHS daily census
2024-03-09,total_individuals_in_shelter,86152,DHS daily census
2024-03-09,total_single_adults_in_shelter,19782,DHS daily census
2024-03-09,families_with_children_in_shelter,18934,DHS daily census
2024-03-09,adult_families_in_shelter,2071,DHS daily census
2024-03-08,total_individuals_in_shelter,86270,DHS daily census
2024-03-08,total_single_adults_in_shelter,19710,DHS daily census
2024-03-08,families_with_children_in_shelter,18982,DHS daily census
2024-03-08,adult_families_in_shelter,2071,DHS daily census
2024-03-07,total_individuals_in_shelter,86184,DHS daily census
2024-03-07,total_single_adults_in_shelter,19660,DHS daily census
2024-03-07,families_with_children_in_shelter,18961,DHS daily census
2024-03-07,adult_families_in_shelter,2080,DHS daily census
2024-03-06,total_individuals_in_shelter,86360,DHS daily census
2024-03-06,total_single_adults_in_shelter,19736,DHS daily census
2024-03-06,families_with_children_in_shelter,18983,DHS daily census
2024-03-06,adult_families_in_shelter,2090,DHS daily census
2024-03-05,total_individuals_in_shelter,86566,DHS daily census
2024-03-05,total_single_adults_in_shelter,19788,DHS daily census
2024-03-05,families_with_children_in_shelter,19033,DHS daily census
2024-03-05,adult_families_in_shelter,2098,DHS daily census
2024-03-04,total_individuals_in_shelter,86805,DHS daily census
2024-03-04,total_single_adults_in_shelter,19767,DHS daily census
2024-03-04,families_with_children_in_shelter,19057,DHS daily census
2024-03-04,adult_families_in_shelter,2179,DHS daily census
2024-03-03,total_individuals_in_shelter,86802,DHS daily census
2024-03-03,total_single_adults_in_shelter,19671,DHS daily census
2024-03-03,families_with_children_in_shelter,19070,DHS daily census
2024-03-03,adult_families_in_shelter,2201,DHS daily census
2024-03-02,total_individuals_in_shelter,86747,DHS daily census
2024-03-02,total_single_adults_in_shelter,19696,DHS daily census
2024-03-02,families_with_children_in_shelter,19050,DHS daily census
2024-03-02,adult_families_in_shelter,2197,DHS daily census
2024-03-01,total_individuals_in_shelter,86845,DHS daily census
2024-03-01,total_single_adults_in_shelter,19691,DHS daily census
2024-03-01,families_with_children_in_shelter,19086,DHS daily census
2024-03-01,adult_families_in_shelter,2208,DHS daily census
2024-02-29,total_individuals_in_shelter,86934,DHS daily census
2024-02-29,total_single_adults_in_shelter,19776,DHS daily census
2024-02-29,families_with_children_in_shelter,19080,DHS daily census
2024-02-29,adult_families_in_shelter,2219,DHS daily census
2024-02-28,total_individuals_in_shelter,87082,DHS daily census
2024-02-28,total_single_adults_in_shelter,19819,DHS daily census
2024-02-28,families_with_children_in_shelter,19096,DHS daily census
2024-02-28,adult_families_in_shelter,2231,DHS daily census
2024-02-27,total_individuals_in_shelter,87159,DHS daily census
2024-02-27,total_single_adults_in_shelter,19875,DHS daily census
2024-02-27,families_with_children_in_shelter,19090,DHS daily census
2024-02-27,adult_families_in_shelter,2246,DHS daily census
2024-02-26,total_individuals_in_shelter,87315,DHS daily census
2024-02-26,total_single_adults_in_shelter,19944,DHS daily census
2024-02-26,families_with_children_in_shelter,19106,DHS daily census
2024-02-26,adult_families_in_shelter,2250,DHS daily census
2024-02-25,total_individuals_in_shelter,87494,DHS daily census
2024-02-25,total_single_adults_in_shelter,19987,DHS daily census
2024-02-25,families_with_children_in_shelter,19159,DHS daily census
2024-02-25,adult_families_in_shelter,2241,DHS daily census
2024-02-24,total_individuals_in_shelter,87509,DHS daily census
2024-02-24,total_single_adults_in_shelter,19977,DHS daily census
2024-02-24,families_with_children_in_shelter,19164,DHS daily census
2024-02-24,adult_families_in_shelter,2252,DHS daily census
2024-02-23,total_individuals_in_shelter,87507,DHS daily census
2024-02-23,total_single_adults_in_shelter,19972,DHS daily census
2024-02-23,families_with_children_in_shelter,19148,DHS daily census
2024-02-23,adult_families_in_shelter,2260,DHS daily census
2024-02-22,total_individuals_in_shelter,87627,DHS daily census
2024-02-22,total_single_adults_in_shelter,20005,DHS daily census
2024-02-22,families_with_children_in_shelter,19165,DHS daily census
2024-02-22,adult_families_in_shelter,2272,DHS daily census
2024-02-21,total_individuals_in_shelter,87731,DHS daily census
2024-02-21,total_single_adults_in_shelter,19986,DHS daily census
2024-02-21,families_with_children_in_shelter,19199,DHS daily census
2024-02-21,adult_families_in_shelter,2268,DHS daily census
2024-02-20,total_individuals_in_shelter,87859,DHS daily census
2024-02-20,total_single_adults_in_shelter,20020,DHS daily census
2024-02-20,families_with_children_in_shelter,19220,DHS daily census
2024-02-20,adult_families_in_shelter,2283,DHS daily census
2024-02-19,total_individuals_in_shelter,87857,DHS daily census
2024-02-19,total_single_adults_in_shelter,20026,DHS daily census
2024-02-19,families_with_children_in_shelter,19221,DHS daily census
2024-02-19,adult_families_in_shelter,2275,DHS daily census
2024-02-18,total_individuals_in_shelter,87986,DHS daily census
2024-02-18,total_single_adults_in_shelter,20074,DHS daily census
2024-02-18,families_with_children_in_shelter,19244,DHS daily census
2024-02-18,adult_families_in_shelter,2273,DHS daily census
2024-02-17,total_individuals_in_shelter,88004,DHS daily census
2024-02-17,total_single_adults_in_shelter,20160,DHS daily census
2024-02-17,families_with_children_in_shelter,19215,DHS daily census
2024-02-17,adult_families_in_shelter,2279,DHS daily census
2024-02-16,total_individuals_in_shelter,88097,DHS daily census
2024-02-16,total_single_adults_in_shelter,20157,DHS daily census
2024-02-16,families_with_children_in_shelter,19243,DHS daily census
2024-02-16,adult_families_in_shelter,2283,DHS daily census
2024-02-15,total_individuals_in_shelter,88259,DHS daily census
2024-02-15,total_single_adults_in_shelter,20252,DHS daily census
2024-02-15,families_with_children_in_shelter,19258,DHS daily census
2024-02-15,adult_families_in_shelter,2291,DHS daily census
2024-02-14,total_individuals_in_shelter,88242,DHS daily census
2024-02-14,total_single_adults_in_shelter,20179,DHS daily census
2024-02-14,families_with_children_in_shelter,19286,DHS daily census
2024-02-14,adult_families_in_shelter,2289,DHS daily census
2024-02-13,total_individuals_in_shelter,88341,DHS daily census
2024-02-13,total_single_adults_in_shelter,20211,DHS daily census
2024-02-13,families_with_children_in_shelter,19309,DHS daily census
2024-02-13,adult_families_in_shelter,2299,DHS daily census
2024-02-12,total_individuals_in_shelter,88287,DHS daily census
2024-02-12,total_single_adults_in_shelter,20155,DHS daily census
2024-02-12,families_with_children_in_shelter,19322,DHS daily census
2024-02-12,adult_families_in_shelter,2286,DHS daily census
2024-02-11,total_individuals_in_shelter,88437,DHS daily census
2024-02-11,total_single_adults_in_shelter,20173,DHS daily census
2024-02-11,families_with_children_in_shelter,19370,DHS daily census
2024-02-11,adult_families_in_shelter,2277,DHS daily census
2024-02-10,total_individuals_in_shelter,88488,DHS daily census
2024-02-10,total_single_adults_in_shelter,20234,DHS daily census
2024-02-10,families_with_children_in_shelter,19357,DHS daily census
2024-02-10,adult_families_in_shelter,2286,DHS daily census
2024-02-09,total_individuals_in_shelter,88652,DHS daily census
2024-02-09,total_single_adults_in_shelter,20276,DHS daily census
2024-02-09,families_with_children_in_shelter,19398,DHS daily census
2024-02-09,adult_families_in_shelter,2285,DHS daily census
2024-02-08,total_individuals_in_shelter,88721,DHS daily census
2024-02-08,total_single_adults_in_shelter,20386,DHS daily census
2024-02-08,families_with_children_in_shelter,19372,DHS daily census
2024-02-08,adult_families_in_shelter,2301,DHS daily census
2024-02-07,total_individuals_in_shelter,88998,DHS daily census
2024-02-07,total_single_adults_in_shelter,20529,DHS daily census
2024-02-07,families_with_children_in_shelter,19420,DHS daily census
2024-02-07,adult_families_in_shelter,2299,DHS daily census
2024-02-06,total_individuals_in_shelter,89157,DHS daily census
2024-02-06,total_single_adults_in_shelter,20581,DHS daily census
2024-02-06,families_with_children_in_shelter,19461,DHS daily census
2024-02-06,adult_families_in_shelter,2286,DHS daily census
2024-02-05,total_individuals_in_shelter,89087,DHS daily census
2024-02-05,total_single_adults_in_shelter,20522,DHS daily census
2024-02-05,families_with_children_in_shelter,19448,DHS daily census
2024-02-05,adult_families_in_shelter,2292,DHS daily census
2024-02-04,total_individuals_in_shelter,89018,DHS daily census
2024-02-04,total_single_adults_in_shelter,20399,DHS daily census
2024-02-04,families_with_children_in_shelter,19480,DHS daily census
2024-02-04,adult_families_in_shelter,2282,DHS daily census
2024-02-03,total_individuals_in_shelter,89167,DHS daily census
2024-02-03,total_single_adults_in_shelter,20386,DHS daily census
2024-02-03,families_with_children_in_shelter,19533,DHS daily census
2024-02-03,adult_families_in_shelter,2293,DHS daily census
2024-02-02,total_individuals_in_shelter,89135,DHS daily census
2024-02-02,total_single_adults_in_shelter,20416,DHS daily census
2024-02-02,families_with_children_in_shelter,19506,DHS daily census
2024-02-02,adult_families_in_shelter,2292,DHS daily census
2024-02-01,total_individuals_in_shelter,89186,DHS daily census
2024-02-01,total_single_adults_in_shelter,20467,DHS daily census
2024-02-01,families_with_children_in_shelter,19508,DHS daily census
2024-02-01,adult_families_in_shelter,2288,DHS daily census
2024-01-31,total_individuals_in_shelter,88964,DHS daily census
2024-01-31,total_single_adults_in_shelter,20549,DHS daily census
2024-01-31,families_with_children_in_shelter,19439,DHS daily census
2024-01-31,adult_families_in_shelter,2280,DHS daily census
2024-01-30,total_individuals_in_shelter,89145,DHS daily census
2024-01-30,total_single_adults_in_shelter,20566,DHS daily census
2024-01-30,families_with_children_in_shelter,19489,DHS daily census
2024-01-30,adult_families_in_shelter,2287,DHS daily census
2024-01-29,total_individuals_in_shelter,89111,DHS daily census
2024-01-29,total_single_adults_in_shelter,20474,DHS daily census
2024-01-29,families_with_children_in_shelter,19505,DHS daily census
2024-01-29,adult_families_in_shelter,2286,DHS daily census
2024-01-28,total_individuals_in_shelter,89000,DHS daily census
2024-01-28,total_single_adults_in_shelter,20356,DHS daily census
2024-01-28,families_with_children_in_shelter,19513,DHS daily census
2024-01-28,adult_families_in_shelter,2281,DHS daily census
2024-01-27,total_individuals_in_shelter,88981,DHS daily census
2024-01-27,total_single_adults_in_shelter,20319,DHS daily census
2024-01-27,families_with_children_in_shelter,19523,DHS daily census
2024-01-27,adult_families_in_shelter,2283,DHS daily census
2024-01-26,total_individuals_in_shelter,88981,DHS daily census
2024-01-26,total_single_adults_in_shelter,20313,DHS daily census
2024-01-26,families_with_children_in_shelter,19526,DHS daily census
2024-01-26,adult_families_in_shelter,2281,DHS daily census
2024-01-25,total_individuals_in_shelter,89090,DHS daily census
2024-01-25,total_single_adults_in_shelter,20386,DHS daily census
2024-01-25,families_with_children_in_shelter,19525,DHS daily census
2024-01-25,adult_families_in_shelter,2291,DHS daily census
2024-01-24,total_individuals_in_shelter,89120,DHS daily census
2024-01-24,total_single_adults_in_shelter,20362,DHS daily census
2024-01-24,families_with_children_in_shelter,19536,DHS daily census
2024-01-24,adult_families_in_shelter,2305,DHS daily census
2024-01-23,total_individuals_in_shelter,89041,DHS daily census
2024-01-23,total_single_adults_in_shelter,20322,DHS daily census
2024-01-23,families_with_children_in_shelter,19524,DHS daily census
2024-01-23,adult_families_in_shelter,2298,DHS daily census
2024-01-22,total_individuals_in_shelter,89034,DHS daily census
2024-01-22,total_single_adults_in_shelter,20273,DHS daily census
2024-01-22,families_with_children_in_shelter,19523,DHS daily census
2024-01-22,adult_families_in_shelter,2306,DHS daily census
2024-01-21,total_individuals_in_shelter,89023,DHS daily census
2024-01-21,total_single_adults_in_shelter,20307,DHS daily census
2024-01-21,families_with_children_in_shelter,19527,DHS daily census
2024-01-21,adult_families_in_shelter,2295,DHS daily census
2024-01-20,total_individuals_in_shelter,88997,DHS daily census
2024-01-20,total_single_adults_in_shelter,20312,DHS daily census
2024-01-20,families_with_children_in_shelter,19518,DHS daily census
2024-01-20,adult_families_in_shelter,2293,DHS daily census
2024-01-19,total_individuals_in_shelter,88996,DHS daily census
2024-01-19,total_single_adults_in_shelter,20272,DHS daily census
2024-01-19,families_with_children_in_shelter,19543,DHS daily census
2024-01-19,adult_families_in_shelter,2283,DHS daily census
2024-01-18,total_individuals_in_shelter,89179,DHS daily census
2024-01-18,total_single_adults_in_shelter,20430,DHS daily census
2024-01-18,families_with_children_in_shelter,19556,DHS daily census
2024-01-18,adult_families_in_shelter,2286,DHS daily census
2024-01-17,total_individuals_in_shelter,89163,DHS daily census
2024-01-17,total_single_adults_in_shelter,20354,DHS daily census
2024-01-17,families_with_children_in_shelter,19579,DHS daily census
2024-01-17,adult_families_in_shelter,2292,DHS daily census
2024-01-16,total_individuals_in_shelter,89324,DHS daily census
2024-01-16,total_single_adults_in_shelter,20462,DHS daily census
2024-01-16,families_with_children_in_shelter,19590,DHS daily census
2024-01-16,adult_families_in_shelter,2289,DHS daily census
2024-01-15,total_individuals_in_shelter,89351,DHS daily census
2024-01-15,total_single_adults_in_shelter,20472,DHS daily census
2024-01-15,families_with_children_in_shelter,19611,DHS daily census
2024-01-15,adult_families_in_shelter,2275,DHS daily census
2024-01-14,total_individuals_in_shelter,89448,DHS daily census
2024-01-14,total_single_adults_in_shelter,20467,DHS daily census
2024-01-14,families_with_children_in_shelter,19641,DHS daily census
2024-01-14,adult_families_in_shelter,2285,DHS daily census
2024-01-13,total_individuals_in_shelter,89230,DHS daily census
2024-01-13,total_single_adults_in_shelter,20419,DHS daily census
2024-01-13,families_with_children_in_shelter,19596,DHS daily census
2024-01-13,adult_families_in_shelter,2283,DHS daily census
2024-01-12,total_individuals_in_shelter,89348,DHS daily census
2024-01-12,total_single_adults_in_shelter,20429,DHS daily census
2024-01-12,families_with_children_in_shelter,19627,DHS daily census
2024-01-12,adult_families_in_shelter,2278,DHS daily census
2024-01-11,total_individuals_in_shelter,89468,DHS daily census
2024-01-11,total_single_adults_in_shelter,20569,DHS daily census
2024-01-11,families_with_children_in_shelter,19620,DHS daily census
2024-01-11,adult_families_in_shelter,2284,DHS daily census
2024-01-10,total_individuals_in_shelter,89402,DHS daily census
2024-01-10,total_single_adults_in_shelter,20557,DHS daily census
2024-01-10,families_with_children_in_shelter,19602,DHS daily census
2024-01-10,adult_families_in_shelter,2277,DHS daily census
2024-01-09,total_individuals_in_shelter,89182,DHS daily census
2024-01-09,total_single_adults_in_shelter,20366,DHS daily census
2024-01-09,families_with_children_in_shelter,19590,DHS daily census
2024-01-09,adult_families_in_shelter,2282,DHS daily census
2024-01-08,total_individuals_in_shelter,89129,DHS daily census
2024-01-08,total_single_adults_in_shelter,20455,DHS daily census
2024-01-08,families_with_children_in_shelter,19554,DHS daily census
2024-01-08,adult_families_in_shelter,2275,DHS daily census
2024-01-07,total_individuals_in_shelter,89165,DHS daily census
2024-01-07,total_single_adults_in_shelter,20553,DHS daily census
2024-01-07,families_with_children_in_shelter,19546,DHS daily census
2024-01-07,adult_families_in_shelter,2271,DHS daily census
2024-01-06,total_individuals_in_shelter,88919,DHS daily census
2024-01-06,total_single_adults_in_shelter,20449,DHS daily census
2024-01-06,families_with_children_in_shelter,19496,DHS daily census
2024-01-06,adult_families_in_shelter,2259,DHS daily census
2024-01-05,total_individuals_in_shelter,88925,DHS daily census
2024-01-05,total_single_adults_in_shelter,20475,DHS daily census
2024-01-05,families_with_children_in_shelter,19483,DHS daily census
2024-01-05,adult_families_in_shelter,2258,DHS daily census
2024-01-04,total_individuals_in_shelter,88889,DHS daily census
2024-01-04,total_single_adults_in_shelter,20520,DHS daily census
2024-01-04,families_with_children_in_shelter,19452,DHS daily census
2024-01-04,adult_families_in_shelter,2255,DHS daily census
2024-01-03,total_individuals_in_shelter,88981,DHS daily census
2024-01-03,total_single_adults_in_shelter,20554,DHS daily census
2024-01-03,families_with_children_in_shelter,19472,DHS daily census
2024-01-03,adult_families_in_shelter,2253,DHS daily census
2024-01-02,total_individuals_in_shelter,89159,DHS daily census
2024-01-02,total_single_adults_in_shelter,20644,DHS daily census
2024-01-02,families_with_children_in_shelter,19485,DHS daily census
2024-01-02,adult_families_in_shelter,2260,DHS daily census
2024-01-01,total_individuals_in_shelter,88934,DHS daily census
2024-01-01,total_single_adults_in_shelter,20359,DHS daily census
2024-01-01,families_with_children_in_shelter,19492,DHS daily census
2024-01-01,adult_families_in_shelter,2274,DHS daily census
2023-12-31,total_individuals_in_shelter,88774,DHS daily census
2023-12-31,total_single_adults_in_shelter,20440,DHS daily census
2023-12-31,families_with_children_in_shelter,19423,DHS daily census
2023-12-31,adult_families_in_shelter,2253,DHS daily census
2023-12-30,total_individuals_in_shelter,88805,DHS daily census
2023-12-30,total_single_adults_in_shelter,20609,DHS daily census
2023-12-30,families_with_children_in_shelter,19383,DHS daily census
2023-12-30,adult_families_in_shelter,2247,DHS daily census
2023-12-29,total_individuals_in_shelter,88619,DHS daily census
2023-12-29,total_single_adults_in_shelter,20615,DHS daily census
2023-12-29,families_with_children_in_shelter,19333,DHS daily census
2023-12-29,adult_families_in_shelter,2251,DHS daily census
2023-12-28,total_individuals_in_shelter,88682,DHS daily census
2023-12-28,total_single_adults_in_shelter,20759,DHS daily census
2023-12-28,families_with_children_in_shelter,19316,DHS daily census
2023-12-28,adult_families_in_shelter,2247,DHS daily census
2023-12-27,total_individuals_in_shelter,88721,DHS daily census
2023-12-27,total_single_adults_in_shelter,20690,DHS daily census
2023-12-27,families_with_children_in_shelter,19358,DHS daily census
2023-12-27,adult_families_in_shelter,2245,DHS daily census
2023-12-26,total_individuals_in_shelter,88502,DHS daily census
2023-12-26,total_single_adults_in_shelter,20668,DHS daily census
2023-12-26,families_with_children_in_shelter,19291,DHS daily census
2023-12-26,adult_families_in_shelter,2247,DHS daily census
2023-12-25,total_individuals_in_shelter,88571,DHS daily census
2023-12-25,total_single_adults_in_shelter,20680,DHS daily census
2023-12-25,families_with_children_in_shelter,19313,DHS daily census
2023-12-25,adult_families_in_shelter,2234,DHS daily census
2023-12-24,total_individuals_in_shelter,88522,DHS daily census
2023-12-24,total_single_adults_in_shelter,20671,DHS daily census
2023-12-24,families_with_children_in_shelter,19304,DHS daily census
2023-12-24,adult_families_in_shelter,2220,DHS daily census
2023-12-23,total_individuals_in_shelter,88554,DHS daily census
2023-12-23,total_single_adults_in_shelter,20710,DHS daily census
2023-12-23,families_with_children_in_shelter,19302,DHS daily census
2023-12-23,adult_families_in_shelter,2212,DHS daily census
2023-12-22,total_individuals_in_shelter,88640,DHS daily census
2023-12-22,total_single_adults_in_shelter,20760,DHS daily census
2023-12-22,families_with_children_in_shelter,19302,DHS daily census
2023-12-22,adult_families_in_shelter,2216,DHS daily census
2023-12-21,total_individuals_in_shelter,88924,DHS daily census
2023-12-21,total_single_adults_in_shelter,20907,DHS daily census
2023-12-21,families_with_children_in_shelter,19340,DHS daily census
2023-12-21,adult_families_in_shelter,2211,DHS daily census
2023-12-20,total_individuals_in_shelter,89105,DHS daily census
2023-12-20,total_single_adults_in_shelter,21034,DHS daily census
2023-12-20,families_with_children_in_shelter,19356,DHS daily census
2023-12-20,adult_families_in_shelter,2227,DHS daily census
2023-12-19,total_individuals_in_shelter,89263,DHS daily census
2023-12-19,total_single_adults_in_shelter,21148,DHS daily census
2023-12-19,families_with_children_in_shelter,19384,DHS daily census
2023-12-19,adult_families_in_shelter,2225,DHS daily census
2023-12-18,total_individuals_in_shelter,89192,DHS daily census
2023-12-18,total_single_adults_in_shelter,21050,DHS daily census
2023-12-18,families_with_children_in_shelter,19392,DHS daily census
2023-12-18,adult_families_in_shelter,2226,DHS daily census
2023-12-17,total_individuals_in_shelter,89167,DHS daily census
2023-12-17,total_single_adults_in_shelter,21052,DHS daily census
2023-12-17,families_with_children_in_shelter,19380,DHS daily census
2023-12-17,adult_families_in_shelter,2232,DHS daily census
2023-12-16,total_individuals_in_shelter,89121,DHS daily census
2023-12-16,total_single_adults_in_shelter,21034,DHS daily census
2023-12-16,families_with_children_in_shelter,19360,DHS daily census
2023-12-16,adult_families_in_shelter,2237,DHS daily census
2023-12-15,total_individuals_in_shelter,89154,DHS daily census
2023-12-15,total_single_adults_in_shelter,21114,DHS daily census
2023-12-15,families_with_children_in_shelter,19355,DHS daily census
2023-12-15,adult_families_in_shelter,2243,DHS daily census
2023-12-14,total_individuals_in_shelter,89190,DHS daily census
2023-12-14,total_single_adults_in_shelter,21116,DHS daily census
2023-12-14,families_with_children_in_shelter,19358,DHS daily census
2023-12-14,adult_families_in_shelter,2240,DHS daily census
2023-12-13,total_individuals_in_shelter,89399,DHS daily census
2023-12-13,total_single_adults_in_shelter,21237,DHS daily census
2023-12-13,families_with_children_in_shelter,19372,DHS daily census
2023-12-13,adult_families_in_shelter,2240,DHS daily census
2023-12-12,total_individuals_in_shelter,89508,DHS daily census
2023-12-12,total_single_adults_in_shelter,21366,DHS daily census
2023-12-12,families_with_children_in_shelter,19369,DHS daily census
2023-12-12,adult_families_in_shelter,2241,DHS daily census
2023-12-11,total_individuals_in_shelter,89460,DHS daily census
2023-12-11,total_single_adults_in_shelter,21345,DHS daily census
2023-12-11,families_with_children_in_shelter,19363,DHS daily census
2023-12-11,adult_families_in_shelter,2233,DHS daily census
2023-12-10,total_individuals_in_shelter,89558,DHS daily census
2023-12-10,total_single_adults_in_shelter,21330,DHS daily census
2023-12-10,families_with_children_in_shelter,19393,DHS daily census
2023-12-10,adult_families_in_shelter,2236,DHS daily census
2023-12-09,total_individuals_in_shelter,89421,DHS daily census
2023-12-09,total_single_adults_in_shelter,21226,DHS daily census
2023-12-09,families_with_children_in_shelter,19376,DHS daily census
2023-12-09,adult_families_in_shelter,2238,DHS daily census
2023-12-08,total_individuals_in_shelter,89344,DHS daily census
2023-12-08,total_single_adults_in_shelter,21247,DHS daily census
2023-12-08,families_with_children_in_shelter,19348,DHS daily census
2023-12-08,adult_families_in_shelter,2241,DHS daily census
2023-12-07,total_individuals_in_shelter,89393,DHS daily census
2023-12-07,total_single_adults_in_shelter,21331,DHS daily census
2023-12-07,families_with_children_in_shelter,19347,DHS daily census
2023-12-07,adult_families_in_shelter,2233,DHS daily census
2023-12-06,total_individuals_in_shelter,89437,DHS daily census
2023-12-06,total_single_adults_in_shelter,21305,DHS daily census
2023-12-06,families_with_children_in_shelter,19352,DHS daily census
2023-12-06,adult_families_in_shelter,2245,DHS daily census
2023-12-05,total_individuals_in_shelter,89321,DHS daily census
2023-12-05,total_single_adults_in_shelter,21209,DHS daily census
2023-12-05,families_with_children_in_shelter,19350,DHS daily census
2023-12-05,adult_families_in_shelter,2239,DHS daily census
2023-12-04,total_individuals_in_shelter,89441,DHS daily census
2023-12-04,total_single_adults_in_shelter,21145,DHS daily census
2023-12-04,families_with_children_in_shelter,19389,DHS daily census
2023-12-04,adult_families_in_shelter,2252,DHS daily census
2023-12-03,total_individuals_in_shelter,89431,DHS daily census
2023-12-03,total_single_adults_in_shelter,21130,DHS daily census
2023-12-03,families_with_children_in_shelter,19398,DHS daily census
2023-12-03,adult_families_in_shelter,2245,DHS daily census
2023-12-02,total_individuals_in_shelter,89355,DHS daily census
2023-12-02,total_single_adults_in_shelter,21105,DHS daily census
2023-12-02,families_with_children_in_shelter,19377,DHS daily census
2023-12-02,adult_families_in_shelter,2251,DHS daily census
2023-12-01,total_individuals_in_shelter,89260,DHS daily census
2023-12-01,total_single_adults_in_shelter,21138,DHS daily census
2023-12-01,families_with_children_in_shelter,19331,DHS daily census
2023-12-01,adult_families_in_shelter,2260,DHS daily census
2023-11-30,total_individuals_in_shelter,89296,DHS daily census
2023-11-30,total_single_adults_in_shelter,21152,DHS daily census
2023-11-30,families_with_children_in_shelter,19320,DHS daily census
2023-11-30,adult_families_in_shelter,2267,DHS daily census
2023-11-29,total_individuals_in_shelter,89205,DHS daily census
2023-11-29,total_single_adults_in_shelter,21091,DHS daily census
2023-11-29,families_with_children_in_shelter,19316,DHS daily census
2023-11-29,adult_families_in_shelter,2270,DHS daily census
2023-11-28,total_individuals_in_shelter,89219,DHS daily census
2023-11-28,total_single_adults_in_shelter,21151,DHS daily census
2023-11-28,families_with_children_in_shelter,19301,DHS daily census
2023-11-28,adult_families_in_shelter,2258,DHS daily census
2023-11-27,total_individuals_in_shelter,89218,DHS daily census
2023-11-27,total_single_adults_in_shelter,21089,DHS daily census
