measure,count,table,date
Individuals,61253,families_with_children,2024-03-24
Families,2032,adult_families_census,2024-03-24
Individuals (Adults),4362,adult_families_census,2024-03-24
Single Adults,21989,combined_total_single_adults,2024-03-24
Total Individuals,87604,combined_total_shelter_census,2024-03-24
Drop-in Center Clients Served,446,single_adults,2024-03-21
Drop-in Center Overnight Census,126,single_adults,2024-03-21
Faith Bed Census,21,single_adults,2024-03-21
Outreach Contacts,405,single_adults,2024-03-21
Outreach Placements,44,single_adults,2024-03-21
Safe Haven Utilization,1705,single_adults,2024-03-21
Veterans In Short-term Housing,190,single_adults,2024-03-21
Criminal Justice Short-term Housing,NA,single_adults,2024-03-21
Families with Children Requesting Temporary Housing,106,family_intake,2024-03-21
Adult Families Requesting Temporary Housing,18,family_intake,2024-03-21
Families Placed in Overnight Accommodations,0,family_intake,2024-03-21
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-03-21
Adults,53648,total_shelter_census,2024-03-21
Children,32154,total_shelter_census,2024-03-21
Total Individuals,85802,total_shelter_census,2024-03-21
Men,14942,total_single_adults,2024-03-21
Women,5078,total_single_adults,2024-03-21
Total Single Adults,20020,total_single_adults,2024-03-21
Families,18723,families_with_children,2024-03-21
Adults,29231,families_with_children,2024-03-21
Children,32154,families_with_children,2024-03-21
Individuals,61385,families_with_children,2024-03-21
Families,2050,adult_families_census,2024-03-21
Individuals (Adults),4397,adult_families_census,2024-03-21
Single Adults,22062,combined_total_single_adults,2024-03-21
Total Individuals,87844,combined_total_shelter_census,2024-03-21
Drop-in Center Clients Served,431,single_adults,2024-03-20
Drop-in Center Overnight Census,92,single_adults,2024-03-20
Faith Bed Census,23,single_adults,2024-03-20
Outreach Contacts,408,single_adults,2024-03-20
Outreach Placements,46,single_adults,2024-03-20
Safe Haven Utilization,1699,single_adults,2024-03-20
Veterans In Short-term Housing,184,single_adults,2024-03-20
Criminal Justice Short-term Housing,NA,single_adults,2024-03-20
Families with Children Requesting Temporary Housing,131,family_intake,2024-03-20
Adult Families Requesting Temporary Housing,26,family_intake,2024-03-20
Families Placed in Overnight Accommodations,0,family_intake,2024-03-20
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-03-20
Adults,53603,total_shelter_census,2024-03-20
Children,32143,total_shelter_census,2024-03-20
Total Individuals,85746,total_shelter_census,2024-03-20
Men,14914,total_single_adults,2024-03-20
Women,5063,total_single_adults,2024-03-20
Total Single Adults,19977,total_single_adults,2024-03-20
Families,18735,families_with_children,2024-03-20
Adults,29246,families_with_children,2024-03-20
Children,32143,families_with_children,2024-03-20
Individuals,61389,families_with_children,2024-03-20
Families,2044,adult_families_census,2024-03-20
Individuals (Adults),4380,adult_families_census,2024-03-20
Single Adults,21975,combined_total_single_adults,2024-03-20
Total Individuals,87744,combined_total_shelter_census,2024-03-20
Drop-in Center Clients Served,450,single_adults,2024-03-19
Drop-in Center Overnight Census,142,single_adults,2024-03-19
Faith Bed Census,18,single_adults,2024-03-19
Outreach Contacts,387,single_adults,2024-03-19
Outreach Placements,43,single_adults,2024-03-19
Safe Haven Utilization,1698,single_adults,2024-03-19
Veterans In Short-term Housing,190,single_adults,2024-03-19
Criminal Justice Short-term Housing,NA,single_adults,2024-03-19
Families with Children Requesting Temporary Housing,154,family_intake,2024-03-19
Adult Families Requesting Temporary Housing,31,family_intake,2024-03-19
Families Placed in Overnight Accommodations,0,family_intake,2024-03-19
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-03-19
Adults,53604,total_shelter_census,2024-03-19
Children,32166,total_shelter_census,2024-03-19
Total Individuals,85770,total_shelter_census,2024-03-19
Men,14923,total_single_adults,2024-03-19
Women,5053,total_single_adults,2024-03-19
Total Single Adults,19976,total_single_adults,2024-03-19
Families,18737,families_with_children,2024-03-19
Adults,29234,families_with_children,2024-03-19
Children,32166,families_with_children,2024-03-19
Individuals,61400,families_with_children,2024-03-19
Families,2049,adult_families_census,2024-03-19
Individuals (Adults),4394,adult_families_census,2024-03-19
Single Adults,22024,combined_total_single_adults,2024-03-19
Total Individuals,87818,combined_total_shelter_census,2024-03-19
Drop-in Center Clients Served,249,single_adults,2024-03-18
Drop-in Center Overnight Census,55,single_adults,2024-03-18
Faith Bed Census,17,single_adults,2024-03-18
Outreach Contacts,338,single_adults,2024-03-18
Outreach Placements,35,single_adults,2024-03-18
Safe Haven Utilization,1704,single_adults,2024-03-18
Veterans In Short-term Housing,184,single_adults,2024-03-18
Criminal Justice Short-term Housing,NA,single_adults,2024-03-18
Families with Children Requesting Temporary Housing,171,family_intake,2024-03-18
Adult Families Requesting Temporary Housing,31,family_intake,2024-03-18
Families Placed in Overnight Accommodations,0,family_intake,2024-03-18
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-03-18
Adults,53618,total_shelter_census,2024-03-18
Children,32216,total_shelter_census,2024-03-18
Total Individuals,85834,total_shelter_census,2024-03-18
Men,14915,total_single_adults,2024-03-18
Women,5040,total_single_adults,2024-03-18
Total Single Adults,19955,total_single_adults,2024-03-18
Families,18760,families_with_children,2024-03-18
Adults,29265,families_with_children,2024-03-18
Children,32216,families_with_children,2024-03-18
Individuals,61481,families_with_children,2024-03-18
Families,2050,adult_families_census,2024-03-18
Individuals (Adults),4398,adult_families_census,2024-03-18
Single Adults,21915,combined_total_single_adults,2024-03-18
Total Individuals,87794,combined_total_shelter_census,2024-03-18
Drop-in Center Clients Served,541,single_adults,2024-03-17
Drop-in Center Overnight Census,157,single_adults,2024-03-17
Faith Bed Census,18,single_adults,2024-03-17
Outreach Contacts,228,single_adults,2024-03-17
Outreach Placements,19,single_adults,2024-03-17
Safe Haven Utilization,1716,single_adults,2024-03-17
Veterans In Short-term Housing,189,single_adults,2024-03-17
Criminal Justice Short-term Housing,NA,single_adults,2024-03-17
Families with Children Requesting Temporary Housing,51,family_intake,2024-03-17
Adult Families Requesting Temporary Housing,18,family_intake,2024-03-17
Families Placed in Overnight Accommodations,0,family_intake,2024-03-17
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-03-17
Adults,53728,total_shelter_census,2024-03-17
Children,32394,total_shelter_census,2024-03-17
Total Individuals,86122,total_shelter_census,2024-03-17
Men,14840,total_single_adults,2024-03-17
Women,5027,total_single_adults,2024-03-17
Total Single Adults,19867,total_single_adults,2024-03-17
Families,18892,families_with_children,2024-03-17
Adults,29469,families_with_children,2024-03-17
Children,32394,families_with_children,2024-03-17
Individuals,61863,families_with_children,2024-03-17
Families,2046,adult_families_census,2024-03-17
Individuals (Adults),4392,adult_families_census,2024-03-17
Single Adults,21947,combined_total_single_adults,2024-03-17
Total Individuals,88202,combined_total_shelter_census,2024-03-17
Drop-in Center Clients Served,275,single_adults,2024-03-14
Drop-in Center Overnight Census,15,single_adults,2024-03-14
Faith Bed Census,12,single_adults,2024-03-14
Outreach Contacts,379,single_adults,2024-03-14
Outreach Placements,24,single_adults,2024-03-14
Safe Haven Utilization,1714,single_adults,2024-03-14
Veterans In Short-term Housing,193,single_adults,2024-03-14
Criminal Justice Short-term Housing,NA,single_adults,2024-03-14
Families with Children Requesting Temporary Housing,127,family_intake,2024-03-14
Adult Families Requesting Temporary Housing,25,family_intake,2024-03-14
Families Placed in Overnight Accommodations,0,family_intake,2024-03-14
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-03-14
Adults,53750,total_shelter_census,2024-03-14
Children,32338,total_shelter_census,2024-03-14
Total Individuals,86088,total_shelter_census,2024-03-14
Men,14838,total_single_adults,2024-03-14
Women,5068,total_single_adults,2024-03-14
Total Single Adults,19906,total_single_adults,2024-03-14
Families,18863,families_with_children,2024-03-14
Adults,29440,families_with_children,2024-03-14
Children,32338,families_with_children,2024-03-14
Individuals,61778,families_with_children,2024-03-14
Families,2054,adult_families_census,2024-03-14
Individuals (Adults),4404,adult_families_census,2024-03-14
Single Adults,21840,combined_total_single_adults,2024-03-14
Total Individuals,88022,combined_total_shelter_census,2024-03-14
Drop-in Center Clients Served,534,single_adults,2024-03-13
Drop-in Center Overnight Census,159,single_adults,2024-03-13
Faith Bed Census,22,single_adults,2024-03-13
Outreach Contacts,363,single_adults,2024-03-13
Outreach Placements,32,single_adults,2024-03-13
Safe Haven Utilization,1712,single_adults,2024-03-13
Veterans In Short-term Housing,188,single_adults,2024-03-13
Criminal Justice Short-term Housing,NA,single_adults,2024-03-13
Families with Children Requesting Temporary Housing,132,family_intake,2024-03-13
Adult Families Requesting Temporary Housing,22,family_intake,2024-03-13
Families Placed in Overnight Accommodations,0,family_intake,2024-03-13
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-03-13
Adults,53757,total_shelter_census,2024-03-13
Children,32347,total_shelter_census,2024-03-13
Total Individuals,86104,total_shelter_census,2024-03-13
Men,14799,total_single_adults,2024-03-13
Women,5063,total_single_adults,2024-03-13
Total Single Adults,19862,total_single_adults,2024-03-13
Families,18877,families_with_children,2024-03-13
Adults,29461,families_with_children,2024-03-13
Children,32347,families_with_children,2024-03-13
Individuals,61808,families_with_children,2024-03-13
Families,2068,adult_families_census,2024-03-13
Individuals (Adults),4434,adult_families_census,2024-03-13
Single Adults,21943,combined_total_single_adults,2024-03-13
Total Individuals,88185,combined_total_shelter_census,2024-03-13
Drop-in Center Clients Served,418,single_adults,2024-03-12
Drop-in Center Overnight Census,69,single_adults,2024-03-12
Faith Bed Census,16,single_adults,2024-03-12
Outreach Contacts,290,single_adults,2024-03-12
Outreach Placements,34,single_adults,2024-03-12
Safe Haven Utilization,1711,single_adults,2024-03-12
Veterans In Short-term Housing,189,single_adults,2024-03-12
Criminal Justice Short-term Housing,NA,single_adults,2024-03-12
Families with Children Requesting Temporary Housing,139,family_intake,2024-03-12
Adult Families Requesting Temporary Housing,19,family_intake,2024-03-12
Families Placed in Overnight Accommodations,0,family_intake,2024-03-12
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-03-12
Adults,53723,total_shelter_census,2024-03-12
Children,32335,total_shelter_census,2024-03-12
Total Individuals,86058,total_shelter_census,2024-03-12
Men,14717,total_single_adults,2024-03-12
Women,5071,total_single_adults,2024-03-12
Total Single Adults,19788,total_single_adults,2024-03-12
Families,18882,families_with_children,2024-03-12
Adults,29471,families_with_children,2024-03-12
Children,32335,families_with_children,2024-03-12
Individuals,61806,families_with_children,2024-03-12
Families,2084,adult_families_census,2024-03-12
Individuals (Adults),4464,adult_families_census,2024-03-12
Single Adults,21773,combined_total_single_adults,2024-03-12
Total Individuals,88043,combined_total_shelter_census,2024-03-12
Drop-in Center Clients Served,443,single_adults,2024-03-11
Drop-in Center Overnight Census,123,single_adults,2024-03-11
Faith Bed Census,16,single_adults,2024-03-11
Outreach Contacts,361,single_adults,2024-03-11
Outreach Placements,43,single_adults,2024-03-11
Safe Haven Utilization,1715,single_adults,2024-03-11
Veterans In Short-term Housing,188,single_adults,2024-03-11
Criminal Justice Short-term Housing,NA,single_adults,2024-03-11
Families with Children Requesting Temporary Housing,142,family_intake,2024-03-11
Adult Families Requesting Temporary Housing,28,family_intake,2024-03-11
Families Placed in Overnight Accommodations,0,family_intake,2024-03-11
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-03-11
Adults,53797,total_shelter_census,2024-03-11
Children,32425,total_shelter_census,2024-03-11
Total Individuals,86222,total_shelter_census,2024-03-11
Men,14732,total_single_adults,2024-03-11
Women,5064,total_single_adults,2024-03-11
Total Single Adults,19796,total_single_adults,2024-03-11
Families,18938,families_with_children,2024-03-11
Adults,29544,families_with_children,2024-03-11
Children,32425,families_with_children,2024-03-11
Individuals,61969,families_with_children,2024-03-11
Families,2080,adult_families_census,2024-03-11
Individuals (Adults),4457,adult_families_census,2024-03-11
Single Adults,21838,combined_total_single_adults,2024-03-11
Total Individuals,88264,combined_total_shelter_census,2024-03-11
Drop-in Center Clients Served,552,single_adults,2024-03-10
Drop-in Center Overnight Census,164,single_adults,2024-03-10
Faith Bed Census,4,single_adults,2024-03-10
Outreach Contacts,236,single_adults,2024-03-10
Outreach Placements,24,single_adults,2024-03-10
Safe Haven Utilization,1718,single_adults,2024-03-10
Veterans In Short-term Housing,174,single_adults,2024-03-10
Criminal Justice Short-term Housing,NA,single_adults,2024-03-10
Families with Children Requesting Temporary Housing,68,family_intake,2024-03-10
Adult Families Requesting Temporary Housing,12,family_intake,2024-03-10
Families Placed in Overnight Accommodations,0,family_intake,2024-03-10
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-03-10
Adults,53763,total_shelter_census,2024-03-10
Children,32435,total_shelter_census,2024-03-10
Total Individuals,86198,total_shelter_census,2024-03-10
Men,14719,total_single_adults,2024-03-10
Women,5052,total_single_adults,2024-03-10
Total Single Adults,19771,total_single_adults,2024-03-10
Families,18941,families_with_children,2024-03-10
Adults,29551,families_with_children,2024-03-10
Children,32435,families_with_children,2024-03-10
Individuals,61986,families_with_children,2024-03-10
Families,2072,adult_families_census,2024-03-10
Individuals (Adults),4441,adult_families_census,2024-03-10
Single Adults,21831,combined_total_single_adults,2024-03-10
Total Individuals,88258,combined_total_shelter_census,2024-03-10
Drop-in Center Clients Served,534,single_adults,2024-03-07
Drop-in Center Overnight Census,122,single_adults,2024-03-07
Faith Bed Census,17,single_adults,2024-03-07
Outreach Contacts,422,single_adults,2024-03-07
Outreach Placements,45,single_adults,2024-03-07
Safe Haven Utilization,1719,single_adults,2024-03-07
Veterans In Short-term Housing,192,single_adults,2024-03-07
Criminal Justice Short-term Housing,NA,single_adults,2024-03-07
Families with Children Requesting Temporary Housing,131,family_intake,2024-03-07
Adult Families Requesting Temporary Housing,24,family_intake,2024-03-07
Families Placed in Overnight Accommodations,0,family_intake,2024-03-07
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-03-07
Adults,53709,total_shelter_census,2024-03-07
Children,32475,total_shelter_census,2024-03-07
Total Individuals,86184,total_shelter_census,2024-03-07
Men,14617,total_single_adults,2024-03-07
Women,5043,total_single_adults,2024-03-07
Total Single Adults,19660,total_single_adults,2024-03-07
Families,18961,families_with_children,2024-03-07
Adults,29590,families_with_children,2024-03-07
Children,32475,families_with_children,2024-03-07
Individuals,62065,families_with_children,2024-03-07
Families,2080,adult_families_census,2024-03-07
Individuals (Adults),4459,adult_families_census,2024-03-07
Single Adults,21710,combined_total_single_adults,2024-03-07
Total Individuals,88234,combined_total_shelter_census,2024-03-07
Drop-in Center Clients Served,625,single_adults,2024-03-05
Drop-in Center Overnight Census,121,single_adults,2024-03-05
Faith Bed Census,12,single_adults,2024-03-05
Outreach Contacts,304,single_adults,2024-03-05
Outreach Placements,39,single_adults,2024-03-05
Safe Haven Utilization,1718,single_adults,2024-03-05
Veterans In Short-term Housing,182,single_adults,2024-03-05
Criminal Justice Short-term Housing,NA,single_adults,2024-03-05
Families with Children Requesting Temporary Housing,111,family_intake,2024-03-05
Adult Families Requesting Temporary Housing,30,family_intake,2024-03-05
Families Placed in Overnight Accommodations,0,family_intake,2024-03-05
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-03-05
Adults,53974,total_shelter_census,2024-03-05
Children,32592,total_shelter_census,2024-03-05
Total Individuals,86566,total_shelter_census,2024-03-05
Men,14725,total_single_adults,2024-03-05
Women,5063,total_single_adults,2024-03-05
Total Single Adults,19788,total_single_adults,2024-03-05
Families,19033,families_with_children,2024-03-05
Adults,29688,families_with_children,2024-03-05
Children,32592,families_with_children,2024-03-05
Individuals,62280,families_with_children,2024-03-05
Families,2098,adult_families_census,2024-03-05
Individuals (Adults),4498,adult_families_census,2024-03-05
Single Adults,21821,combined_total_single_adults,2024-03-05
Total Individuals,88599,combined_total_shelter_census,2024-03-05
Drop-in Center Clients Served,525,single_adults,2024-03-03
Drop-in Center Overnight Census,NA,single_adults,2024-03-03
Faith Bed Census,12,single_adults,2024-03-03
Outreach Contacts,244,single_adults,2024-03-03
Outreach Placements,15,single_adults,2024-03-03
Safe Haven Utilization,1726,single_adults,2024-03-03
Veterans In Short-term Housing,178,single_adults,2024-03-03
Criminal Justice Short-term Housing,NA,single_adults,2024-03-03
Families with Children Requesting Temporary Housing,72,family_intake,2024-03-03
Adult Families Requesting Temporary Housing,14,family_intake,2024-03-03
Families Placed in Overnight Accommodations,0,family_intake,2024-03-03
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-03-03
Adults,54141,total_shelter_census,2024-03-03
Children,32661,total_shelter_census,2024-03-03
Total Individuals,86802,total_shelter_census,2024-03-03
Men,14648,total_single_adults,2024-03-03
Women,5023,total_single_adults,2024-03-03
Total Single Adults,19671,total_single_adults,2024-03-03
Families,19070,families_with_children,2024-03-03
Adults,29771,families_with_children,2024-03-03
Children,32661,families_with_children,2024-03-03
Individuals,62432,families_with_children,2024-03-03
Families,2201,adult_families_census,2024-03-03
Individuals (Adults),4699,adult_families_census,2024-03-03
Single Adults,21587,combined_total_single_adults,2024-03-03
Total Individuals,88718,combined_total_shelter_census,2024-03-03
Drop-in Center Clients Served,506,single_adults,2024-02-29
Drop-in Center Overnight Census,9,single_adults,2024-02-29
Faith Bed Census,NA,single_adults,2024-02-29
Outreach Contacts,389,single_adults,2024-02-29
Outreach Placements,58,single_adults,2024-02-29
Safe Haven Utilization,1726,single_adults,2024-02-29
Veterans In Short-term Housing,200,single_adults,2024-02-29
Criminal Justice Short-term Housing,NA,single_adults,2024-02-29
Families with Children Requesting Temporary Housing,114,family_intake,2024-02-29
Adult Families Requesting Temporary Housing,21,family_intake,2024-02-29
Families Placed in Overnight Accommodations,0,family_intake,2024-02-29
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-02-29
Adults,54299,total_shelter_census,2024-02-29
Children,32635,total_shelter_census,2024-02-29
Total Individuals,86934,total_shelter_census,2024-02-29
Men,14721,total_single_adults,2024-02-29
Women,5055,total_single_adults,2024-02-29
Total Single Adults,19776,total_single_adults,2024-02-29
Families,19080,families_with_children,2024-02-29
Adults,29786,families_with_children,2024-02-29
Children,32635,families_with_children,2024-02-29
Individuals,62421,families_with_children,2024-02-29
Families,2219,adult_families_census,2024-02-29
Individuals (Adults),4737,adult_families_census,2024-02-29
Single Adults,21711,combined_total_single_adults,2024-02-29
Total Individuals,88869,combined_total_shelter_census,2024-02-29
Drop-in Center Clients Served,NA,single_adults,2024-02-27
Drop-in Center Overnight Census,159,single_adults,2024-02-27
Faith Bed Census,24,single_adults,2024-02-27
Outreach Contacts,338,single_adults,2024-02-27
Outreach Placements,32,single_adults,2024-02-27
Safe Haven Utilization,1721,single_adults,2024-02-27
Veterans In Short-term Housing,192,single_adults,2024-02-27
Criminal Justice Short-term Housing,NA,single_adults,2024-02-27
Families with Children Requesting Temporary Housing,124,family_intake,2024-02-27
Adult Families Requesting Temporary Housing,19,family_intake,2024-02-27
Families Placed in Overnight Accommodations,0,family_intake,2024-02-27
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-02-27
Adults,54475,total_shelter_census,2024-02-27
Children,32684,total_shelter_census,2024-02-27
Total Individuals,87159,total_shelter_census,2024-02-27
Men,14843,total_single_adults,2024-02-27
Women,5032,total_single_adults,2024-02-27
Total Single Adults,19875,total_single_adults,2024-02-27
Families,19090,families_with_children,2024-02-27
Adults,29807,families_with_children,2024-02-27
Children,32684,families_with_children,2024-02-27
Individuals,62491,families_with_children,2024-02-27
Families,2246,adult_families_census,2024-02-27
Individuals (Adults),4793,adult_families_census,2024-02-27
Single Adults,21971,combined_total_single_adults,2024-02-27
Total Individuals,89255,combined_total_shelter_census,2024-02-27
Drop-in Center Clients Served,NA,single_adults,2024-02-26
Drop-in Center Overnight Census,180,single_adults,2024-02-26
Faith Bed Census,18,single_adults,2024-02-26
Outreach Contacts,298,single_adults,2024-02-26
Outreach Placements,41,single_adults,2024-02-26
Safe Haven Utilization,1717,single_adults,2024-02-26
Veterans In Short-term Housing,190,single_adults,2024-02-26
Criminal Justice Short-term Housing,NA,single_adults,2024-02-26
Families with Children Requesting Temporary Housing,119,family_intake,2024-02-26
Adult Families Requesting Temporary Housing,19,family_intake,2024-02-26
Families Placed in Overnight Accommodations,0,family_intake,2024-02-26
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-02-26
Adults,54591,total_shelter_census,2024-02-26
Children,32724,total_shelter_census,2024-02-26
Total Individuals,87315,total_shelter_census,2024-02-26
Men,14957,total_single_adults,2024-02-26
Women,4987,total_single_adults,2024-02-26
Total Single Adults,19944,total_single_adults,2024-02-26
Families,19106,families_with_children,2024-02-26
Adults,29847,families_with_children,2024-02-26
Children,32724,families_with_children,2024-02-26
Individuals,62571,families_with_children,2024-02-26
Families,2250,adult_families_census,2024-02-26
Individuals (Adults),4800,adult_families_census,2024-02-26
Single Adults,22049,combined_total_single_adults,2024-02-26
Total Individuals,89420,combined_total_shelter_census,2024-02-26
Drop-in Center Clients Served,NA,single_adults,2024-02-25
Drop-in Center Overnight Census,180,single_adults,2024-02-25
Faith Bed Census,NA,single_adults,2024-02-25
Outreach Contacts,260,single_adults,2024-02-25
Outreach Placements,27,single_adults,2024-02-25
Safe Haven Utilization,1679,single_adults,2024-02-25
Veterans In Short-term Housing,179,single_adults,2024-02-25
Criminal Justice Short-term Housing,NA,single_adults,2024-02-25
Families with Children Requesting Temporary Housing,64,family_intake,2024-02-25
Adult Families Requesting Temporary Housing,19,family_intake,2024-02-25
Families Placed in Overnight Accommodations,0,family_intake,2024-02-25
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-02-25
Adults,54692,total_shelter_census,2024-02-25
Children,32802,total_shelter_census,2024-02-25
Total Individuals,87494,total_shelter_census,2024-02-25
Men,14970,total_single_adults,2024-02-25
Women,5017,total_single_adults,2024-02-25
Total Single Adults,19987,total_single_adults,2024-02-25
Families,19159,families_with_children,2024-02-25
Adults,29925,families_with_children,2024-02-25
Children,32802,families_with_children,2024-02-25
Individuals,62727,families_with_children,2024-02-25
Families,2241,adult_families_census,2024-02-25
Individuals (Adults),4780,adult_families_census,2024-02-25
Single Adults,22025,combined_total_single_adults,2024-02-25
Total Individuals,89532,combined_total_shelter_census,2024-02-25
Drop-in Center Clients Served,NA,single_adults,2024-02-21
Drop-in Center Overnight Census,123,single_adults,2024-02-21
Faith Bed Census,NA,single_adults,2024-02-21
Outreach Contacts,357,single_adults,2024-02-21
Outreach Placements,38,single_adults,2024-02-21
Safe Haven Utilization,1681,single_adults,2024-02-21
Veterans In Short-term Housing,194,single_adults,2024-02-21
Criminal Justice Short-term Housing,NA,single_adults,2024-02-21
Families with Children Requesting Temporary Housing,131,family_intake,2024-02-21
Adult Families Requesting Temporary Housing,31,family_intake,2024-02-21
Families Placed in Overnight Accommodations,0,family_intake,2024-02-21
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-02-21
Adults,54841,total_shelter_census,2024-02-21
Children,32890,total_shelter_census,2024-02-21
Total Individuals,87731,total_shelter_census,2024-02-21
Men,14963,total_single_adults,2024-02-21
Women,5023,total_single_adults,2024-02-21
Total Single Adults,19986,total_single_adults,2024-02-21
Families,19199,families_with_children,2024-02-21
Adults,30016,families_with_children,2024-02-21
Children,32890,families_with_children,2024-02-21
Individuals,62906,families_with_children,2024-02-21
Families,2268,adult_families_census,2024-02-21
Individuals (Adults),4839,adult_families_census,2024-02-21
Single Adults,21984,combined_total_single_adults,2024-02-21
Total Individuals,89729,combined_total_shelter_census,2024-02-21
Drop-in Center Clients Served,0,single_adults,2024-02-20
Drop-in Center Overnight Census,183,single_adults,2024-02-20
Faith Bed Census,15,single_adults,2024-02-20
Outreach Contacts,323,single_adults,2024-02-20
Outreach Placements,49,single_adults,2024-02-20
Safe Haven Utilization,1685,single_adults,2024-02-20
Veterans In Short-term Housing,190,single_adults,2024-02-20
Criminal Justice Short-term Housing,NA,single_adults,2024-02-20
Families with Children Requesting Temporary Housing,120,family_intake,2024-02-20
Adult Families Requesting Temporary Housing,20,family_intake,2024-02-20
Families Placed in Overnight Accommodations,0,family_intake,2024-02-20
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-02-20
Adults,54937,total_shelter_census,2024-02-20
Children,32922,total_shelter_census,2024-02-20
Total Individuals,87859,total_shelter_census,2024-02-20
Men,14993,total_single_adults,2024-02-20
Women,5027,total_single_adults,2024-02-20
Total Single Adults,20020,total_single_adults,2024-02-20
Families,19220,families_with_children,2024-02-20
Adults,30048,families_with_children,2024-02-20
Children,32922,families_with_children,2024-02-20
Individuals,62970,families_with_children,2024-02-20
Families,2283,adult_families_census,2024-02-20
Individuals (Adults),4869,adult_families_census,2024-02-20
Single Adults,22093,combined_total_single_adults,2024-02-20
Total Individuals,89932,combined_total_shelter_census,2024-02-20
Drop-in Center Clients Served,0,single_adults,2024-02-19
Drop-in Center Overnight Census,116,single_adults,2024-02-19
Faith Bed Census,16,single_adults,2024-02-19
Outreach Contacts,222,single_adults,2024-02-19
Outreach Placements,25,single_adults,2024-02-19
Safe Haven Utilization,1675,single_adults,2024-02-19
Veterans In Short-term Housing,187,single_adults,2024-02-19
Criminal Justice Short-term Housing,NA,single_adults,2024-02-19
Families with Children Requesting Temporary Housing,110,family_intake,2024-02-19
Adult Families Requesting Temporary Housing,13,family_intake,2024-02-19
Families Placed in Overnight Accommodations,0,family_intake,2024-02-19
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-02-19
Adults,54925,total_shelter_census,2024-02-19
Children,32932,total_shelter_census,2024-02-19
Total Individuals,87857,total_shelter_census,2024-02-19
Men,15026,total_single_adults,2024-02-19
Women,5000,total_single_adults,2024-02-19
Total Single Adults,20026,total_single_adults,2024-02-19
Families,19221,families_with_children,2024-02-19
Adults,30045,families_with_children,2024-02-19
Children,32932,families_with_children,2024-02-19
Individuals,62977,families_with_children,2024-02-19
Families,2275,adult_families_census,2024-02-19
Individuals (Adults),4854,adult_families_census,2024-02-19
Single Adults,22020,combined_total_single_adults,2024-02-19
Total Individuals,89851,combined_total_shelter_census,2024-02-19
Drop-in Center Clients Served,0,single_adults,2024-02-15
Drop-in Center Overnight Census,55,single_adults,2024-02-15
Faith Bed Census,0,single_adults,2024-02-15
Outreach Contacts,348,single_adults,2024-02-15
Outreach Placements,45,single_adults,2024-02-15
Safe Haven Utilization,1662,single_adults,2024-02-15
Veterans In Short-term Housing,193,single_adults,2024-02-15
Criminal Justice Short-term Housing,NA,single_adults,2024-02-15
Families with Children Requesting Temporary Housing,106,family_intake,2024-02-15
Adult Families Requesting Temporary Housing,19,family_intake,2024-02-15
Families Placed in Overnight Accommodations,0,family_intake,2024-02-15
Families w/children at PATH Overnight (pre 10PM),0,family_intake,2024-02-15
Adults,55249,total_shelter_census,2024-02-15
Children,33010,total_shelter_census,2024-02-15
Total Individuals,88259,total_shelter_census,2024-02-15
Men,15152,total_single_adults,2024-02-15
Women,5100,total_single_adults,2024-02-15
Total Single Adults,20252,total_single_adults,2024-02-15
Families,19258,families_with_children,2024-02-15
Adults,30111,families_with_children,2024-02-15
Children,33010,families_with_children,2024-02-15
Individuals,63121,families_with_children,2024-02-15
Families,2291,adult_families_census,2024-02-15
Individuals (Adults),4886,adult_families_census,2024-02-15
Single Adults,22162,combined_total_single_adults,2024-02-15
Total Individuals,90169,combined_total_shelter_census,2024-02-15
Drop-in Center Clients Served,196,single_adults,2024-02-14
Drop-in Center Overnight Census,100,single_adults,2024-02-14
Faith Bed Census,24,single_adults,2024-02-14
Outreach Contacts,406,single_adults,2024-02-14
Outreach Placements,37,single_adults,2024-02-14
Safe Haven Utilization,1667,single_adults,2024-02-14
Veterans In Short-term Housing,192,single_adults,2024-02-14
Criminal Justice Short-term Housing,NA,single_adults,2024-02-14
Families with Children Requesting Temporary Housing,108,family_intake,2024-02-14
Adult Families Requesting Temporary Housing,21,family_intake,2024-02-14
Families Placed in Overnight Accommodations,0,family_intake,2024-02-14
