facility_or_program_type,agency,report_date,date,series,exits,category,housing_category,notes
Section 8 voucher housing- NYCHA- tenant-based,HPD,07_2023,2023-07-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,HPD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,HPD,07_2023,2023-07-01,total_single_adults,NA,Section 8,Permanent Housing,NA
settings with higher levels of medical care- inpatient hospitalization,HPD,07_2023,2023-07-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- inpatient hospitalization,HPD,07_2023,2023-07-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- inpatient hospitalization,HPD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- inpatient hospitalization,HPD,07_2023,2023-07-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- long-term care facilities,HPD,07_2023,2023-07-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- long-term care facilities,HPD,07_2023,2023-07-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- long-term care facilities,HPD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- long-term care facilities,HPD,07_2023,2023-07-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical rehabilitation centers,HPD,07_2023,2023-07-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical rehabilitation centers,HPD,07_2023,2023-07-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical rehabilitation centers,HPD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical rehabilitation centers,HPD,07_2023,2023-07-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical respite care,HPD,07_2023,2023-07-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical respite care,HPD,07_2023,2023-07-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical respite care,HPD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
settings with higher levels of medical care- medical respite care,HPD,07_2023,2023-07-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
Supportive housing,HPD,07_2023,2023-07-01,families_with_children,0,Supportive housing,Permanent Housing,NA
Supportive housing,HPD,07_2023,2023-07-01,adult_families,0,Supportive housing,Permanent Housing,NA
Supportive housing,HPD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Supportive housing,Permanent Housing,NA
Supportive housing,HPD,07_2023,2023-07-01,total_single_adults,0,Supportive housing,Permanent Housing,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,07_2023,2023-07-01,families_with_children,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,07_2023,2023-07-01,adult_families,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HPD,07_2023,2023-07-01,total_single_adults,NA,Transitional housing,Other,NA
Unknown or unable to validate,HPD,07_2023,2023-07-01,families_with_children,0,Unknown,Unknown,NA
Unknown or unable to validate,HPD,07_2023,2023-07-01,adult_families,0,Unknown,Unknown,NA
Unknown or unable to validate,HPD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Unknown,Unknown,NA
Unknown or unable to validate,HPD,07_2023,2023-07-01,total_single_adults,0,Unknown,Unknown,NA
A private rental market apartment with no rental subsidy,HRA,07_2023,2023-07-01,families_with_children,15,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,HRA,07_2023,2023-07-01,adult_families,0,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,HRA,07_2023,2023-07-01,total_single_adults,0,Private market,Permanent Housing,NA
Housing of friends or family,HRA,07_2023,2023-07-01,families_with_children,14,Family or friends,Permanent Housing,NA
Housing of friends or family,HRA,07_2023,2023-07-01,adult_families,0,Family or friends,Permanent Housing,NA
Housing of friends or family,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Family or friends,Permanent Housing,NA
Housing of friends or family,HRA,07_2023,2023-07-01,total_single_adults,15,Family or friends,Permanent Housing,NA
NYCHA,HRA,07_2023,2023-07-01,families_with_children,0,NYCHA,Permanent Housing,NA
NYCHA,HRA,07_2023,2023-07-01,adult_families,0,NYCHA,Permanent Housing,NA
NYCHA,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,NYCHA,Permanent Housing,NA
NYCHA,HRA,07_2023,2023-07-01,total_single_adults,0,NYCHA,Permanent Housing,NA
Other,HRA,07_2023,2023-07-01,families_with_children,0,Other,Other,NA
Other,HRA,07_2023,2023-07-01,adult_families,0,Other,Other,NA
Other,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Other,Other,NA
Other,HRA,07_2023,2023-07-01,total_single_adults,19,Other,Other,NA
Other affordable housing- other housing,HRA,07_2023,2023-07-01,families_with_children,0,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,HRA,07_2023,2023-07-01,adult_families,0,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,HRA,07_2023,2023-07-01,total_single_adults,0,Affordable housing,Permanent Housing,NA
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,07_2023,2023-07-01,families_with_children,20,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,07_2023,2023-07-01,adult_families,0,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,HRA,07_2023,2023-07-01,total_single_adults,70,Voucher,Permanent Housing,Is this a total?
Residential drug treatment and detoxification,HRA,07_2023,2023-07-01,families_with_children,0,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,HRA,07_2023,2023-07-01,adult_families,0,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Residential drug treatment and detoxification,HRA,07_2023,2023-07-01,total_single_adults,0,Medical care or rehabilitation facility,Other,NA
Section 8,HRA,07_2023,2023-07-01,families_with_children,0,Section 8,Permanent Housing,Is this a total?
Section 8,HRA,07_2023,2023-07-01,adult_families,0,Section 8,Permanent Housing,Is this a total?
Section 8,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Is this a total?
Section 8,HRA,07_2023,2023-07-01,total_single_adults,0,Section 8,Permanent Housing,Is this a total?
Settings with higher levels of medical care- inpatient hospitalization,HRA,07_2023,2023-07-01,families_with_children,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,HRA,07_2023,2023-07-01,adult_families,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- inpatient hospitalization,HRA,07_2023,2023-07-01,total_single_adults,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,HRA,07_2023,2023-07-01,families_with_children,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,HRA,07_2023,2023-07-01,adult_families,0,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical rehabilitation centers,HRA,07_2023,2023-07-01,total_single_adults,0,Medical care or rehabilitation facility,Other,NA
Supportive housing,HRA,07_2023,2023-07-01,families_with_children,0,Supportive housing,Permanent Housing,NA
Supportive housing,HRA,07_2023,2023-07-01,adult_families,0,Supportive housing,Permanent Housing,NA
Supportive housing,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Supportive housing,Permanent Housing,NA
Supportive housing,HRA,07_2023,2023-07-01,total_single_adults,28,Supportive housing,Permanent Housing,NA
Unknown or unable to validate,HRA,07_2023,2023-07-01,families_with_children,97,Unknown,Unknown,NA
Unknown or unable to validate,HRA,07_2023,2023-07-01,adult_families,26,Unknown,Unknown,NA
Unknown or unable to validate,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Unknown,Unknown,NA
Unknown or unable to validate,HRA,07_2023,2023-07-01,total_single_adults,175,Unknown,Unknown,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,07_2023,2023-07-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,07_2023,2023-07-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,HRA,07_2023,2023-07-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HRA,07_2023,2023-07-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HRA,07_2023,2023-07-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,HRA,07_2023,2023-07-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HRA,07_2023,2023-07-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HRA,07_2023,2023-07-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,HRA,07_2023,2023-07-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
Moved back to vacated building,HRA,07_2023,2023-07-01,families_with_children,NA,Other,Other,NA
Moved back to vacated building,HRA,07_2023,2023-07-01,adult_families,NA,Other,Other,NA
Moved back to vacated building,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Other,Other,NA
Moved back to vacated building,HRA,07_2023,2023-07-01,total_single_adults,NA,Other,Other,NA
Other affordable housing- 421-a affordable housing,HRA,07_2023,2023-07-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,HRA,07_2023,2023-07-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,HRA,07_2023,2023-07-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,HRA,07_2023,2023-07-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,HRA,07_2023,2023-07-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,HRA,07_2023,2023-07-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,HRA,07_2023,2023-07-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,HRA,07_2023,2023-07-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,HRA,07_2023,2023-07-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,HRA,07_2023,2023-07-01,families_with_children,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,HRA,07_2023,2023-07-01,adult_families,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,HRA,07_2023,2023-07-01,total_single_adults,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HRA,07_2023,2023-07-01,families_with_children,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HRA,07_2023,2023-07-01,adult_families,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,HRA,07_2023,2023-07-01,total_single_adults,NA,Voucher,Permanent Housing,NA
Rapid re-housing funded by the United States department of housing and urban development,HRA,07_2023,2023-07-01,families_with_children,NA,Rapid re-housing,Other,NA
Rapid re-housing funded by the United States department of housing and urban development,HRA,07_2023,2023-07-01,adult_families,NA,Rapid re-housing,Other,NA
Rapid re-housing funded by the United States department of housing and urban development,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Rapid re-housing,Other,NA
Rapid re-housing funded by the United States department of housing and urban development,HRA,07_2023,2023-07-01,total_single_adults,NA,Rapid re-housing,Other,NA
Section 8 voucher housing- HPD- project-based,HRA,07_2023,2023-07-01,families_with_children,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- project-based,HRA,07_2023,2023-07-01,adult_families,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- project-based,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- project-based,HRA,07_2023,2023-07-01,total_single_adults,NA,Section 8,Permanent Housing,Are HPD project based NYCHA units?
Section 8 voucher housing- HPD- tenant-based,HRA,07_2023,2023-07-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,HRA,07_2023,2023-07-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- HPD- tenant-based,HRA,07_2023,2023-07-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HRA,07_2023,2023-07-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HRA,07_2023,2023-07-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal- tenant-based,HRA,07_2023,2023-07-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,HRA,07_2023,2023-07-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,HRA,07_2023,2023-07-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- New York state homes and community renewal-project-based,HRA,07_2023,2023-07-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HRA,07_2023,2023-07-01,families_with_children,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HRA,07_2023,2023-07-01,adult_families,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYC Housing Authority (NYCHA)- project-based,HRA,07_2023,2023-07-01,total_single_adults,NA,Section 8,Permanent Housing,Should these be NYCHA?
Section 8 voucher housing- NYCHA- tenant-based,HRA,07_2023,2023-07-01,families_with_children,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,HRA,07_2023,2023-07-01,adult_families,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Section 8,Permanent Housing,NA
Section 8 voucher housing- NYCHA- tenant-based,HRA,07_2023,2023-07-01,total_single_adults,NA,Section 8,Permanent Housing,NA
Settings with higher levels of medical care- long-term care facilities,HRA,07_2023,2023-07-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,HRA,07_2023,2023-07-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- long-term care facilities,HRA,07_2023,2023-07-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,HRA,07_2023,2023-07-01,families_with_children,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,HRA,07_2023,2023-07-01,adult_families,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Medical care or rehabilitation facility,Other,NA
Settings with higher levels of medical care- medical respite care,HRA,07_2023,2023-07-01,total_single_adults,NA,Medical care or rehabilitation facility,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HRA,07_2023,2023-07-01,families_with_children,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HRA,07_2023,2023-07-01,adult_families,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HRA,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Transitional housing,Other,NA
"Transitional housing operated by or under contract or similar agreement with DHS, DYCD, HPD, United States Department of Housing and Urban Development (HUD) or HRA",HRA,07_2023,2023-07-01,total_single_adults,NA,Transitional housing,Other,NA
A private rental market apartment with no rental subsidy,DYCD,07_2023,2023-07-01,families_with_children,NA,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,DYCD,07_2023,2023-07-01,adult_families,0,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,0,Private market,Permanent Housing,NA
A private rental market apartment with no rental subsidy,DYCD,07_2023,2023-07-01,total_single_adults,0,Private market,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DYCD,07_2023,2023-07-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DYCD,07_2023,2023-07-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HDC set- aside units financed under Housing New York,DYCD,07_2023,2023-07-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DYCD,07_2023,2023-07-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DYCD,07_2023,2023-07-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units- HPD set-aside units financed under Housing New York,DYCD,07_2023,2023-07-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DYCD,07_2023,2023-07-01,families_with_children,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DYCD,07_2023,2023-07-01,adult_families,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,City-financed homeless unit,Permanent Housing,NA
City-financed homeless set-aside units units financed jointly by HPD and HDC under Housing New York,DYCD,07_2023,2023-07-01,total_single_adults,NA,City-financed homeless unit,Permanent Housing,NA
Housing of friends or family,DYCD,07_2023,2023-07-01,families_with_children,NA,Family or friends,Permanent Housing,NA
Housing of friends or family,DYCD,07_2023,2023-07-01,adult_families,0,Family or friends,Permanent Housing,NA
Housing of friends or family,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,0,Family or friends,Permanent Housing,NA
Housing of friends or family,DYCD,07_2023,2023-07-01,total_single_adults,23,Family or friends,Permanent Housing,NA
Moved back to vacated building,DYCD,07_2023,2023-07-01,families_with_children,NA,Other,Other,NA
Moved back to vacated building,DYCD,07_2023,2023-07-01,adult_families,NA,Other,Other,NA
Moved back to vacated building,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Other,Other,NA
Moved back to vacated building,DYCD,07_2023,2023-07-01,total_single_adults,NA,Other,Other,NA
Other affordable housing- 421-a affordable housing,DYCD,07_2023,2023-07-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,DYCD,07_2023,2023-07-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- 421-a affordable housing,DYCD,07_2023,2023-07-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,DYCD,07_2023,2023-07-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,DYCD,07_2023,2023-07-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- Housing New York,DYCD,07_2023,2023-07-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,DYCD,07_2023,2023-07-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,DYCD,07_2023,2023-07-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- mandatory inclusionary housing,DYCD,07_2023,2023-07-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,DYCD,07_2023,2023-07-01,families_with_children,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,DYCD,07_2023,2023-07-01,adult_families,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Affordable housing,Permanent Housing,NA
Other affordable housing- other housing,DYCD,07_2023,2023-07-01,total_single_adults,NA,Affordable housing,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,DYCD,07_2023,2023-07-01,families_with_children,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,DYCD,07_2023,2023-07-01,adult_families,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- private room,DYCD,07_2023,2023-07-01,total_single_adults,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DYCD,07_2023,2023-07-01,families_with_children,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DYCD,07_2023,2023-07-01,adult_families,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,NA
Private housing that is not an entire apartment with a rental subsidy- unsubsidized single-room occupancy that is not supportive housing,DYCD,07_2023,2023-07-01,total_single_adults,NA,Voucher,Permanent Housing,NA
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,DYCD,07_2023,2023-07-01,families_with_children,NA,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,DYCD,07_2023,2023-07-01,adult_families,NA,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,NA,Voucher,Permanent Housing,Is this a total?
private rental market apartment with a rental subsidy- disaggregated by the type of such subsidy,DYCD,07_2023,2023-07-01,total_single_adults,NA,Voucher,Permanent Housing,Is this a total?
Rapid re-housing funded by the United States department of housing and urban development,DYCD,07_2023,2023-07-01,families_with_children,NA,Rapid re-housing,Other,NA
Rapid re-housing funded by the United States department of housing and urban development,DYCD,07_2023,2023-07-01,adult_families,0,Rapid re-housing,Other,NA
Rapid re-housing funded by the United States department of housing and urban development,DYCD,07_2023,2023-07-01,runaway_and_homeless_youth,0,Rapid re-housing,Other,NA
Rapid re-housing funded by the United States department of housing and urban development,DYCD,07_2023,2023-07-01,total_single_adults,0,Rapid re-housing,Other,NA
